id,volumen,expresión,dominio_fuente,dominio_meta,metáfora,volumen_norm,expresion_norm,dominio_fuente_norm,dominio_meta_norm,metafora_norm,expresion_len
MCVE_f_200_1,Mi cuerpo es la verdad,"Colombia es un país profundamente desigual en términos de ingresos, riqueza o acceso a la tierra.",UN CONTENEDOR,COLOMBIA,COLOMBIA ES UN CONTENEDOR,mi cuerpo es la verdad,"colombia es un país profundamente desigual en términos de ingresos, riqueza o acceso a la tierra.",un contenedor,colombia,colombia es un contenedor,97
CAAM_52_13,Colombia adentro: Amazonía,"la sumió en un caos tan feroz que la historia registraría ese periodo con un nombre que, quizá por la crudeza misma de los hechos, no admitía eufemismos: la Violencia.",UN OBJETO,COLOMBIA,COLOMBIA ES UN OBJETO,colombia adentro: amazonía,"la sumió en un caos tan feroz que la historia registraría ese periodo con un nombre que, quizá por la crudeza misma de los hechos, no admitía eufemismos: la violencia.",un objeto,colombia,colombia es un objeto,167
CAAM_15_1,Colombia adentro: Amazonía,A todas las personas que habitan y caminan los territorios de la Colombia profunda.,UN CONTENEDOR,COLOMBIA,COLOMBIA ES UN CONTENEDOR,colombia adentro: amazonía,a todas las personas que habitan y caminan los territorios de la colombia profunda.,un contenedor,colombia,colombia es un contenedor,83
CAAM_22_32,Colombia adentro: Amazonía,[object Object],UN CONTENEDOR,COLOMBIA,COLOMBIA ES UN CONTENEDOR,colombia adentro: amazonía,[object object],un contenedor,colombia,colombia es un contenedor,15
CAAM_22_34,Colombia adentro: Amazonía,[object Object],UN CONTENEDOR,COLOMBIA,COLOMBIA ES UN CONTENEDOR,colombia adentro: amazonía,[object object],un contenedor,colombia,colombia es un contenedor,15
HALL_286,Hallazgos y Recomendaciones,"Colombia ha vivido décadas saturada con la exposición al horror, y esto ha llevado a una parálisis emocional o a un filtro frente a la percepción de la cruel realidad que predispone a no mirarla de frente, sino a mirar hacia otro lado.",UNA FOTOGRAFÍA,COLOMBIA,COLOMBIA ES UNA FOTOGRAFÍA,hallazgos y recomendaciones,"colombia ha vivido décadas saturada con la exposición al horror, y esto ha llevado a una parálisis emocional o a un filtro frente a la percepción de la cruel realidad que predispone a no mirarla de frente, sino a mirar hacia otro lado.",una fotografía,colombia,colombia es una fotografía,235
CAAM_52_10,Colombia adentro: Amazonía,El magnicidio provocó el Bogotazo y lanzó una onda expansiva que le quebró el espinazo a Colombia,UNA PERSONA,COLOMBIA,COLOMBIA ES UNA PERSONA,colombia adentro: amazonía,el magnicidio provocó el bogotazo y lanzó una onda expansiva que le quebró el espinazo a colombia,una persona,colombia,colombia es una persona,97
TERR_INTRO_2,Colombia adentro: Ensayo introductorio,para ponerle fin a la guerra insurgente-contrainsurgente que vivió Colombia durante más de seis décadas.,UNA PERSONA,COLOMBIA,COLOMBIA ES UNA PERSONA,colombia adentro: ensayo introductorio,para ponerle fin a la guerra insurgente-contrainsurgente que vivió colombia durante más de seis décadas.,una persona,colombia,colombia es una persona,104
TERR_INTRO_14,Colombia adentro: Ensayo introductorio,La Comisión recibió el mandato** de esclarecer lo ocurrido durante el conflicto armado interno que ha vivido Colombia,UNA PERSONA,COLOMBIA,COLOMBIA ES UNA PERSONA,colombia adentro: ensayo introductorio,la comisión recibió el mandato** de esclarecer lo ocurrido durante el conflicto armado interno que ha vivido colombia,una persona,colombia,colombia es una persona,117
TERR_INTRO_22,Colombia adentro: Ensayo introductorio,medidas para evitar la repetición de una historia aciaga como la que ha vivido Colombia.,UNA PERSONA,COLOMBIA,COLOMBIA ES UNA PERSONA,colombia adentro: ensayo introductorio,medidas para evitar la repetición de una historia aciaga como la que ha vivido colombia.,una persona,colombia,colombia es una persona,88
TERR_INTRO_56,Colombia adentro: Ensayo introductorio,El problema del territorio para Colombia es capital,UNA PERSONA,COLOMBIA,COLOMBIA ES UNA PERSONA,colombia adentro: ensayo introductorio,el problema del territorio para colombia es capital,una persona,colombia,colombia es una persona,51
CAAM_22_25,Colombia adentro: Amazonía,[object Object],UNA PERSONA EDIFICADORA,COLOMBIA,COLOMBIA ES UNA PERSONA EDIFICADORA,colombia adentro: amazonía,[object object],una persona edificadora,colombia,colombia es una persona edificadora,15
CAAM_28_28,Colombia adentro: Amazonía,Experimentamos lo difícil que es ponerse en los zapatos de los demás y tratar de comprender sus acciones y sus racionalidades sin juzgarlas.,PONERSE EN SUS ZAPATOS,COMPRENDER AL OTRO,COMPRENDER AL OTRO ES PONERSE EN SUS ZAPATOS,colombia adentro: amazonía,experimentamos lo difícil que es ponerse en los zapatos de los demás y tratar de comprender sus acciones y sus racionalidades sin juzgarlas.,ponerse en sus zapatos,comprender al otro,comprender al otro es ponerse en sus zapatos,140
HALL_185,Hallazgos y Recomendaciones,Los miles de casos de ejecuciones extrajudiciales conocidas como «falsos positivos» solo se empezaron a ver en 2008,VER,CONOCER,CONOCER ES VER,hallazgos y recomendaciones,los miles de casos de ejecuciones extrajudiciales conocidas como «falsos positivos» solo se empezaron a ver en 2008,ver,conocer,conocer es ver,115
TERR_INTRO_9,Colombia adentro: Ensayo introductorio,La tarea del esclarecimiento de la verdad es y seguirá siendo un proceso de construcción lleno de desafíos.,LUZ,CONOCIMIENTO,EL CONOCIMIENTO ES LUZ,colombia adentro: ensayo introductorio,la tarea del esclarecimiento de la verdad es y seguirá siendo un proceso de construcción lleno de desafíos.,luz,conocimiento,el conocimiento es luz,107
TERR_INTRO_40,Colombia adentro: Ensayo introductorio,"Hay futuro si hay verdad. Informe Final de la Comisión para el Esclarecimiento de la Verdad, la Convivencia y la No Repetición.",LUZ,CONOCIMIENTO,EL CONOCIMIENTO ES LUZ,colombia adentro: ensayo introductorio,"hay futuro si hay verdad. informe final de la comisión para el esclarecimiento de la verdad, la convivencia y la no repetición.",luz,conocimiento,el conocimiento es luz,127
TERR_INTRO_49,Colombia adentro: Ensayo introductorio,"Este es el grano de arena que la Comisión y todo su equipo de trabajo entrega para que nuestros hijos, nietos y todas las futuras generaciones",PARTÍCULAS PEQUEÑAS,CONTRIBUCIONES INDIVIDUALES A UN ESFUERZO COLECTIVO,LAS CONTRIBUCIONES INDIVIDUALES A UN ESFUERZO COLECTIVO SON PARTICULAS PEQUEÑAS,colombia adentro: ensayo introductorio,"este es el grano de arena que la comisión y todo su equipo de trabajo entrega para que nuestros hijos, nietos y todas las futuras generaciones",partículas pequeñas,contribuciones individuales a un esfuerzo colectivo,las contribuciones individuales a un esfuerzo colectivo son particulas pequeñas,142
TERR_INTRO_181,Colombia adentro: Ensayo introductorio,el hacendado teje redes de poder que le sirven para controlar el Estado local y el mundo social.,TEJER,CONTROLAR EL PODER DEL ESTADO,CONTROLAR EL PODER DEL ESTADO ES TEJER,colombia adentro: ensayo introductorio,el hacendado teje redes de poder que le sirven para controlar el estado local y el mundo social.,tejer,controlar el poder del estado,controlar el poder del estado es tejer,96
TERR_INTRO_4,Colombia adentro: Ensayo introductorio,La construcción de la convivencia pacífica se ha enfrentado a obstáculos muy graves,UN EDIFICIO,CONVIVENCIA PACÍFICA,LA CONVIVENCIA PACÍFICA ES UN EDIFICIO,colombia adentro: ensayo introductorio,la construcción de la convivencia pacífica se ha enfrentado a obstáculos muy graves,un edificio,convivencia pacífica,la convivencia pacífica es un edificio,83
MCVE_m_55_6,Mi cuerpo es la verdad,"En los entornos que acompañaron la producción cocalera (caseríos y pueblos) hubo una saturación de negocios que ofrecían servicios de paso, como residencias, cantinas, bares, discotecas y prostíbulos, a precios muy elevados.",ARRIBA,COSTOSO,COSTOSO ES ARRIBA,mi cuerpo es la verdad,"en los entornos que acompañaron la producción cocalera (caseríos y pueblos) hubo una saturación de negocios que ofrecían servicios de paso, como residencias, cantinas, bares, discotecas y prostíbulos, a precios muy elevados.",arriba,costoso,costoso es arriba,224
HALL_176,Hallazgos y Recomendaciones,"Desde el momento en que la Comisión abrió las puertas para el trabajo en los diferentes territorios, incluyendo distintos países, muchas de las víctimas que dieron su testimonio tuvieron miedo de hablar, pero querían hacerlo.",ABRIR LAS PUERTAS,DAR ACCESO,DAR ACCESO ES ABRIR LAS PUERTAS,hallazgos y recomendaciones,"desde el momento en que la comisión abrió las puertas para el trabajo en los diferentes territorios, incluyendo distintos países, muchas de las víctimas que dieron su testimonio tuvieron miedo de hablar, pero querían hacerlo.",abrir las puertas,dar acceso,dar acceso es abrir las puertas,225
HALL_74,Hallazgos y Recomendaciones,los responsables pueden dar la cara frente a la sociedad,ENFRENTAR,DAR LA CARA,DAR LA CARA ES ENFRENTAR,hallazgos y recomendaciones,los responsables pueden dar la cara frente a la sociedad,enfrentar,dar la cara,dar la cara es enfrentar,56
HALL_187,Hallazgos y Recomendaciones,"El proceso de la Comisión también ha conllevado reconocimientos en los que los responsables han dado algunos pasos para reconocer la verdad ante las víctimas y la sociedad, como parte de ese proceso de sanación colectivo.",AVANZAR,DAR PASOS,DAR PASOS ES AVANZAR,hallazgos y recomendaciones,"el proceso de la comisión también ha conllevado reconocimientos en los que los responsables han dado algunos pasos para reconocer la verdad ante las víctimas y la sociedad, como parte de ese proceso de sanación colectivo.",avanzar,dar pasos,dar pasos es avanzar,221
MCVE_m_79_2,Mi cuerpo es la verdad,"Las mujeres ingas, yukpas, emberas, nükaks, nasas, yanaconas, kamentsás, wayuus, misaks, zenúes y de la Amazonía ofrecieron a la Comisión de la Verdad testimonios",OFRECER ALGO VALIOSO,DAR TESTIMONIO,DAR TESTIMONIO ES OFRECER ALGO VALIOSO,mi cuerpo es la verdad,"las mujeres ingas, yukpas, emberas, nükaks, nasas, yanaconas, kamentsás, wayuus, misaks, zenúes y de la amazonía ofrecieron a la comisión de la verdad testimonios",ofrecer algo valioso,dar testimonio,dar testimonio es ofrecer algo valioso,162
MCVE_m_92_2,Mi cuerpo es la verdad,"... así como en las voces de muchas otras mujeres negras y afrodescendientes que dieron sus testimonios a la Comisión, aparece un hilo que va tejiendo una historia en común...",TEJER,DAR TESTIMONIO,DAR TESTIMONIO ES TEJER,mi cuerpo es la verdad,"... así como en las voces de muchas otras mujeres negras y afrodescendientes que dieron sus testimonios a la comisión, aparece un hilo que va tejiendo una historia en común...",tejer,dar testimonio,dar testimonio es tejer,175
CAAM_23_15,Colombia adentro: Amazonía,"dedicar tiempo sincero a una persona es una forma de amar, reconocer y dignificar.",AMAR,DEDICAR TIEMPO SINCERO A UNA PERSONA,DEDICAR TIEMPO SINCERO A UNA PERSONA ES AMAR,colombia adentro: amazonía,"dedicar tiempo sincero a una persona es una forma de amar, reconocer y dignificar.",amar,dedicar tiempo sincero a una persona,dedicar tiempo sincero a una persona es amar,82
CAAM_23_17,Colombia adentro: Amazonía,"dedicar tiempo sincero a una persona es una forma de amar, reconocer y dignificar.",DIGNIFICAR,DEDICAR TIEMPO SINCERO A UNA PERSONA,DEDICAR TIEMPO SINCERO A UNA PERSONA ES DIGNIFICAR,colombia adentro: amazonía,"dedicar tiempo sincero a una persona es una forma de amar, reconocer y dignificar.",dignificar,dedicar tiempo sincero a una persona,dedicar tiempo sincero a una persona es dignificar,82
CAAM_23_16,Colombia adentro: Amazonía,"dedicar tiempo sincero a una persona es una forma de amar, reconocer y dignificar.",RECONOCER,DEDICAR TIEMPO SINCERO A UNA PERSONA,DEDICAR TIEMPO SINCERO A UNA PERSONA ES RECONOCER,colombia adentro: amazonía,"dedicar tiempo sincero a una persona es una forma de amar, reconocer y dignificar.",reconocer,dedicar tiempo sincero a una persona,dedicar tiempo sincero a una persona es reconocer,82
MCVE_f_279_7,Mi cuerpo es la verdad,"Esta defensa del territorio desde la cotidianidad, y en «juntanza» política, se teje mediante tres formas de resistencia [...]",TEJER,DEFENDER EL TERRITORIO,DEFENDER EL TERRITORIO ES TEJER,mi cuerpo es la verdad,"esta defensa del territorio desde la cotidianidad, y en «juntanza» política, se teje mediante tres formas de resistencia [...]",tejer,defender el territorio,defender el territorio es tejer,126
CAAM_46_6,Colombia adentro: Amazonía,Él continúa siendo uno de los enemigos del evangelio y no cesará de pervertir el camino correcto hacia el señor,EL FIN DEL CAMINO,DIOS,DIOS ES EL FIN DEL CAMINO,colombia adentro: amazonía,él continúa siendo uno de los enemigos del evangelio y no cesará de pervertir el camino correcto hacia el señor,el fin del camino,dios,dios es el fin del camino,111
CAAM_68_22,Colombia adentro: Amazonía,"contra el campesinado, que fue objeto de sospecha y abusos al considerarlo auxiliador y simpatizante de las guerrillas.",UNA PERSONA,EL ABUSO,EL ABUSO ES UNA PERSONA,colombia adentro: amazonía,"contra el campesinado, que fue objeto de sospecha y abusos al considerarlo auxiliador y simpatizante de las guerrillas.",una persona,el abuso,el abuso es una persona,119
CAAM_54_6,Colombia adentro: Amazonía,colonización a nivel político permitió mantener la soberanía nacional en la frontera sur y ampliar el acceso a la tierra,UN OBJETO FLEXIBLE,EL ACCESO A LA TIERRA,EL ACCESO A LA TIERRA ES UN OBJETO FLEXIBLE,colombia adentro: amazonía,colonización a nivel político permitió mantener la soberanía nacional en la frontera sur y ampliar el acceso a la tierra,un objeto flexible,el acceso a la tierra,el acceso a la tierra es un objeto flexible,120
CAAM_76_34,Colombia adentro: Amazonía,"Lo que significaría un viraje que ampliaría su accionar, como anunciaron en la Séptima conferencia guerrillera, en 1981",UN OBJETO ELÁSTICO,EL ACCIONAR GUERRILLERO,EL ACCIONAR GUERRILLERO ES UN OBJETO ELÁSTICO,colombia adentro: amazonía,"lo que significaría un viraje que ampliaría su accionar, como anunciaron en la séptima conferencia guerrillera, en 1981",un objeto elástico,el accionar guerrillero,el accionar guerrillero es un objeto elástico,119
TERR_INTRO_1,Colombia adentro: Ensayo introductorio,Sobre esta premisa se construyó el Acuerdo de Paz,UN EDIFICIO,EL ACUERDO DE PAZ,EL ACUERDO DE PAZ ES UN EDIFICIO,colombia adentro: ensayo introductorio,sobre esta premisa se construyó el acuerdo de paz,un edificio,el acuerdo de paz,el acuerdo de paz es un edificio,49
CAAM_86_13,Colombia adentro: Amazonía,Pronto se cosecharon los primeros resultados: en marzo de 1984 se alcanzó un acuerdo de cese al fuego,UNA SEMILLA,EL ACUERDO DE PAZ,EL ACUERDO DE PAZ ES UNA SEMILLA,colombia adentro: amazonía,pronto se cosecharon los primeros resultados: en marzo de 1984 se alcanzó un acuerdo de cese al fuego,una semilla,el acuerdo de paz,el acuerdo de paz es una semilla,101
CAAM_52_38,Colombia adentro: Amazonía,"en los apoyos estatales dirigidos a los colonos campesinos, encontraría un último aire.",FUERZA,EL AIRE,EL AIRE ES FUERZA,colombia adentro: amazonía,"en los apoyos estatales dirigidos a los colonos campesinos, encontraría un último aire.",fuerza,el aire,el aire es fuerza,87
MCVE_m_68_1,Mi cuerpo es la verdad,Las mujeres desplazadas han tenido que enfrentarse al aislamiento y a la desconfianza por parte de la sociedad,UN ENEMIGO,EL AISLAMIENTO POR PARTE DE LA SOCIEDAD,EL AISLAMIENTO POR PARTE DE LA SOCIEDAD ES UN ENEMIGO,mi cuerpo es la verdad,las mujeres desplazadas han tenido que enfrentarse al aislamiento y a la desconfianza por parte de la sociedad,un enemigo,el aislamiento por parte de la sociedad,el aislamiento por parte de la sociedad es un enemigo,110
CAAM_39_6,Colombia adentro: Amazonía,[object Object],UN VEHÍCULO,EL ALIMENTO,EL ALIMENTO ES UN VEHÍCULO,colombia adentro: amazonía,[object object],un vehículo,el alimento,el alimento es un vehículo,15
HALL_145,Hallazgos y Recomendaciones,«como si le arrancaran a uno el alma»,UN OBJETO,EL ALMA,EL ALMA ES UN OBJETO,hallazgos y recomendaciones,«como si le arrancaran a uno el alma»,un objeto,el alma,el alma es un objeto,37
CAAM_36_2,Colombia adentro: Amazonía,[object Object],LA MÉDULA,EL AMAZONAS,EL AMAZONAS ES LA MÉDULA,colombia adentro: amazonía,[object object],la médula,el amazonas,el amazonas es la médula,15
CAAM_40_13,Colombia adentro: Amazonía,"La percepción del piedemonte como un obstáculo físico para la ocupación y el control de la llanura amazónica contribuyó a reforzar la visión colonial de sus habitantes como «bárbaros», «infieles», «rebeldes» y «belicosos».",UN REINO,EL AMAZONAS,EL AMAZONAS ES UN REINO,colombia adentro: amazonía,"la percepción del piedemonte como un obstáculo físico para la ocupación y el control de la llanura amazónica contribuyó a reforzar la visión colonial de sus habitantes como «bárbaros», «infieles», «rebeldes» y «belicosos».",un reino,el amazonas,el amazonas es un reino,222
CAAM_37_7,Colombia adentro: Amazonía,"En el trapecio amazónico, surcado por los ríos Putumayo y Amazonas está la «gente de la yuca dulce",UNA FORMA GEOMÉTRICA,EL AMAZONAS,EL AMAZONAS ES UNA FORMA GEOMÉTRICA,colombia adentro: amazonía,"en el trapecio amazónico, surcado por los ríos putumayo y amazonas está la «gente de la yuca dulce",una forma geométrica,el amazonas,el amazonas es una forma geométrica,98
CAAM_87_4,Colombia adentro: Amazonía,representando una propuesta que reunió el anhelo de multitudes de campesinos en la región.,UN OBJETO,EL ANHELO,EL ANHELO ES UN OBJETO,colombia adentro: amazonía,representando una propuesta que reunió el anhelo de multitudes de campesinos en la región.,un objeto,el anhelo,el anhelo es un objeto,90
MCVE_f_217_8,Mi cuerpo es la verdad,mi ánimo si bajó,UNA ESCALA DE MEDIDA,EL ÁNIMO,EL ÁNIMO ES UNA ESCALA DE MEDIDA,mi cuerpo es la verdad,mi ánimo si bajó,una escala de medida,el ánimo,el ánimo es una escala de medida,16
CAAM_68_1,Colombia adentro: Amazonía,estas acciones sembraron un ánimo de unidad entre la población,UN ÁRBOL,EL ÁNIMO DE UNIDAD EN LA POBLACIÓN,EL ÁNIMO DE UNIDAD EN LA POBLACIÓN ES UN ÁRBOL,colombia adentro: amazonía,estas acciones sembraron un ánimo de unidad entre la población,un árbol,el ánimo de unidad en la población,el ánimo de unidad en la población es un árbol,62
